Zone,Type,Delivery Interval,Dollars per MW
New York,Energy,2019-04-13 09:35:00,23.98
New York,10N,2019-04-13 09:35:00,0.45
New York,30R,2019-04-13 09:35:00,0.45
New York,Energy,2019-04-13 09:40:00,23.9
New York,10N,2019-04-13 09:40:00,0.45
New York,30R,2019-04-13 09:40:00,0.45
New York,Energy,2019-04-13 09:45:00,23.9
New York,10N,2019-04-13 09:45:00,0.45
New York,30R,2019-04-13 09:45:00,0.45
New York,Energy,2019-04-13 09:50:00,23.9
New York,10N,2019-04-13 09:50:00,0.45
New York,30R,2019-04-13 09:50:00,0.45
New York,Energy,2019-04-13 09:55:00,23.9
New York,10N,2019-04-13 09:55:00,0.45
New York,30R,2019-04-13 09:55:00,0.45
New York,Energy,2019-04-13 09:60:00,23.87
New York,10N,2019-04-13 09:60:00,0.45
New York,30R,2019-04-13 09:60:00,0.45
Ontario,Energy,2019-04-13 09:05:00,0
Ontario,10S,2019-04-13 09:05:00,0.45
Ontario,10N,2019-04-13 09:05:00,0.45
Ontario,30R,2019-04-13 09:05:00,0.45
Ontario,Energy,2019-04-13 09:10:00,0
Ontario,10S,2019-04-13 09:10:00,0.45
Ontario,10N,2019-04-13 09:10:00,0.45
Ontario,30R,2019-04-13 09:10:00,0.45
Ontario,Energy,2019-04-13 09:15:00,0
Ontario,10S,2019-04-13 09:15:00,0.45
Ontario,10N,2019-04-13 09:15:00,0.45
Ontario,30R,2019-04-13 09:15:00,0.45
Ontario,Energy,2019-04-13 09:20:00,-0.02
Ontario,10S,2019-04-13 09:20:00,0.45
Ontario,10N,2019-04-13 09:20:00,0.45
Ontario,30R,2019-04-13 09:20:00,0.45
Ontario,Energy,2019-04-13 09:25:00,-0.02
Ontario,10S,2019-04-13 09:25:00,0.45
Ontario,10N,2019-04-13 09:25:00,0.45
Ontario,30R,2019-04-13 09:25:00,0.45
Ontario,Energy,2019-04-13 09:30:00,-0.1
Ontario,10S,2019-04-13 09:30:00,0.45
Ontario,10N,2019-04-13 09:30:00,0.45
Ontario,30R,2019-04-13 09:30:00,0.45
Ontario,Energy,2019-04-13 09:35:00,-0.02
Ontario,10S,2019-04-13 09:35:00,0.45
Ontario,10N,2019-04-13 09:35:00,0.45
Ontario,30R,2019-04-13 09:35:00,0.45
Ontario,Energy,2019-04-13 09:40:00,-0.1
Ontario,10S,2019-04-13 09:40:00,0.45
Ontario,10N,2019-04-13 09:40:00,0.45
Ontario,30R,2019-04-13 09:40:00,0.45
Ontario,Energy,2019-04-13 09:45:00,-0.1
Ontario,10S,2019-04-13 09:45:00,0.45
Ontario,10N,2019-04-13 09:45:00,0.45
Ontario,30R,2019-04-13 09:45:00,0.45
Ontario,Energy,2019-04-13 09:50:00,-0.1
Ontario,10S,2019-04-13 09:50:00,0.45
Ontario,10N,2019-04-13 09:50:00,0.45
Ontario,30R,2019-04-13 09:50:00,0.45
Ontario,Energy,2019-04-13 09:55:00,-0.1
Ontario,10S,2019-04-13 09:55:00,0.45
Ontario,10N,2019-04-13 09:55:00,0.45
Ontario,30R,2019-04-13 09:55:00,0.45
Ontario,Energy,2019-04-13 09:60:00,-0.13
Ontario,10S,2019-04-13 09:60:00,0.45
Ontario,10N,2019-04-13 09:60:00,0.45
Ontario,30R,2019-04-13 09:60:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:05:00,0
Quebec  X2Y,10N,2019-04-13 09:05:00,0.45
Quebec  X2Y,30R,2019-04-13 09:05:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:10:00,0
Quebec  X2Y,10N,2019-04-13 09:10:00,0.45
Quebec  X2Y,30R,2019-04-13 09:10:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:15:00,0
Quebec  X2Y,10N,2019-04-13 09:15:00,0.45
Quebec  X2Y,30R,2019-04-13 09:15:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:20:00,-0.02
Quebec  X2Y,10N,2019-04-13 09:20:00,0.45
Quebec  X2Y,30R,2019-04-13 09:20:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:25:00,-0.02
Quebec  X2Y,10N,2019-04-13 09:25:00,0.45
Quebec  X2Y,30R,2019-04-13 09:25:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:30:00,-0.1
Quebec  X2Y,10N,2019-04-13 09:30:00,0.45
Quebec  X2Y,30R,2019-04-13 09:30:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:35:00,-0.02
Quebec  X2Y,10N,2019-04-13 09:35:00,0.45
Quebec  X2Y,30R,2019-04-13 09:35:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:40:00,-0.1
Quebec  X2Y,10N,2019-04-13 09:40:00,0.45
Quebec  X2Y,30R,2019-04-13 09:40:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:45:00,-0.1
Quebec  X2Y,10N,2019-04-13 09:45:00,0.45
Quebec  X2Y,30R,2019-04-13 09:45:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:50:00,-0.1
Quebec  X2Y,10N,2019-04-13 09:50:00,0.45
Quebec  X2Y,30R,2019-04-13 09:50:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:55:00,-0.1
Quebec  X2Y,10N,2019-04-13 09:55:00,0.45
Quebec  X2Y,30R,2019-04-13 09:55:00,0.45
Quebec  X2Y,Energy,2019-04-13 09:60:00,-0.13
Quebec  X2Y,10N,2019-04-13 09:60:00,0.45
Quebec  X2Y,30R,2019-04-13 09:60:00,0.45
Quebec AT,Energy,2019-04-13 09:05:00,2
Quebec AT,10N,2019-04-13 09:05:00,0.45
Quebec AT,30R,2019-04-13 09:05:00,0.45
Quebec AT,Energy,2019-04-13 09:10:00,2
Quebec AT,10N,2019-04-13 09:10:00,0.45
Quebec AT,30R,2019-04-13 09:10:00,0.45
Quebec AT,Energy,2019-04-13 09:15:00,2
Quebec AT,10N,2019-04-13 09:15:00,0.45
Quebec AT,30R,2019-04-13 09:15:00,0.45
Quebec AT,Energy,2019-04-13 09:20:00,1.98
Quebec AT,10N,2019-04-13 09:20:00,0.45
Quebec AT,30R,2019-04-13 09:20:00,0.45
Quebec AT,Energy,2019-04-13 09:25:00,1.98
Quebec AT,10N,2019-04-13 09:25:00,0.45
Quebec AT,30R,2019-04-13 09:25:00,0.45
Quebec AT,Energy,2019-04-13 09:30:00,1.9
Quebec AT,10N,2019-04-13 09:30:00,0.45
Quebec AT,30R,2019-04-13 09:30:00,0.45
Quebec AT,Energy,2019-04-13 09:35:00,1.98
Quebec AT,10N,2019-04-13 09:35:00,0.45
Quebec AT,30R,2019-04-13 09:35:00,0.45
Quebec AT,Energy,2019-04-13 09:40:00,1.9
Quebec AT,10N,2019-04-13 09:40:00,0.45
Quebec AT,30R,2019-04-13 09:40:00,0.45
Quebec AT,Energy,2019-04-13 09:45:00,1.9
Quebec AT,10N,2019-04-13 09:45:00,0.45
Quebec AT,30R,2019-04-13 09:45:00,0.45
Quebec AT,Energy,2019-04-13 09:50:00,1.9
Quebec AT,10N,2019-04-13 09:50:00,0.45
Quebec AT,30R,2019-04-13 09:50:00,0.45
Quebec AT,Energy,2019-04-13 09:55:00,1.9
Quebec AT,10N,2019-04-13 09:55:00,0.45
Quebec AT,30R,2019-04-13 09:55:00,0.45
Quebec AT,Energy,2019-04-13 09:60:00,1.87
Quebec AT,10N,2019-04-13 09:60:00,0.45
Quebec AT,30R,2019-04-13 09:60:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:05:00,0
Quebec B5D.B31L,10N,2019-04-13 09:05:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:05:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:10:00,0
Quebec B5D.B31L,10N,2019-04-13 09:10:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:10:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:15:00,0
Quebec B5D.B31L,10N,2019-04-13 09:15:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:15:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:20:00,-0.02
Quebec B5D.B31L,10N,2019-04-13 09:20:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:20:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:25:00,-0.02
Quebec B5D.B31L,10N,2019-04-13 09:25:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:25:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:30:00,-0.1
Quebec B5D.B31L,10N,2019-04-13 09:30:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:30:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:35:00,-0.02
Quebec B5D.B31L,10N,2019-04-13 09:35:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:35:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:40:00,-0.1
Quebec B5D.B31L,10N,2019-04-13 09:40:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:40:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:45:00,-0.1
Quebec B5D.B31L,10N,2019-04-13 09:45:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:45:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:50:00,-0.1
Quebec B5D.B31L,10N,2019-04-13 09:50:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:50:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:55:00,-0.1
Quebec B5D.B31L,10N,2019-04-13 09:55:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:55:00,0.45
Quebec B5D.B31L,Energy,2019-04-13 09:60:00,-0.13
Quebec B5D.B31L,10N,2019-04-13 09:60:00,0.45
Quebec B5D.B31L,30R,2019-04-13 09:60:00,0.45
Quebec D4Z,Energy,2019-04-13 09:05:00,0
Quebec D4Z,10N,2019-04-13 09:05:00,0.45
Quebec D4Z,30R,2019-04-13 09:05:00,0.45
Quebec D4Z,Energy,2019-04-13 09:10:00,0
Quebec D4Z,10N,2019-04-13 09:10:00,0.45
Quebec D4Z,30R,2019-04-13 09:10:00,0.45
Quebec D4Z,Energy,2019-04-13 09:15:00,0
Quebec D4Z,10N,2019-04-13 09:15:00,0.45
Quebec D4Z,30R,2019-04-13 09:15:00,0.45
Quebec D4Z,Energy,2019-04-13 09:20:00,-0.02
Quebec D4Z,10N,2019-04-13 09:20:00,0.45
Quebec D4Z,30R,2019-04-13 09:20:00,0.45
Quebec D4Z,Energy,2019-04-13 09:25:00,-0.02
Quebec D4Z,10N,2019-04-13 09:25:00,0.45
Quebec D4Z,30R,2019-04-13 09:25:00,0.45
Quebec D4Z,Energy,2019-04-13 09:30:00,-0.1
Quebec D4Z,10N,2019-04-13 09:30:00,0.45
Quebec D4Z,30R,2019-04-13 09:30:00,0.45
Quebec D4Z,Energy,2019-04-13 09:35:00,-0.02
Quebec D4Z,10N,2019-04-13 09:35:00,0.45
Quebec D4Z,30R,2019-04-13 09:35:00,0.45
Quebec D4Z,Energy,2019-04-13 09:40:00,-0.1
Quebec D4Z,10N,2019-04-13 09:40:00,0.45
Quebec D4Z,30R,2019-04-13 09:40:00,0.45
Quebec D4Z,Energy,2019-04-13 09:45:00,-0.1
Quebec D4Z,10N,2019-04-13 09:45:00,0.45
Quebec D4Z,30R,2019-04-13 09:45:00,0.45
Quebec D4Z,Energy,2019-04-13 09:50:00,-0.1
Quebec D4Z,10N,2019-04-13 09:50:00,0.45
Quebec D4Z,30R,2019-04-13 09:50:00,0.45
Quebec D4Z,Energy,2019-04-13 09:55:00,-0.1
Quebec D4Z,10N,2019-04-13 09:55:00,0.45
Quebec D4Z,30R,2019-04-13 09:55:00,0.45
Quebec D4Z,Energy,2019-04-13 09:60:00,-0.13
Quebec D4Z,10N,2019-04-13 09:60:00,0.45
Quebec D4Z,30R,2019-04-13 09:60:00,0.45
Quebec D5A,Energy,2019-04-13 09:05:00,0
Quebec D5A,10N,2019-04-13 09:05:00,0.45
Quebec D5A,30R,2019-04-13 09:05:00,0.45
Quebec D5A,Energy,2019-04-13 09:10:00,0
Quebec D5A,10N,2019-04-13 09:10:00,0.45
Quebec D5A,30R,2019-04-13 09:10:00,0.45
Quebec D5A,Energy,2019-04-13 09:15:00,0
Quebec D5A,10N,2019-04-13 09:15:00,0.45
Quebec D5A,30R,2019-04-13 09:15:00,0.45
Quebec D5A,Energy,2019-04-13 09:20:00,-0.02
Quebec D5A,10N,2019-04-13 09:20:00,0.45
Quebec D5A,30R,2019-04-13 09:20:00,0.45
Quebec D5A,Energy,2019-04-13 09:25:00,-0.02
Quebec D5A,10N,2019-04-13 09:25:00,0.45
Quebec D5A,30R,2019-04-13 09:25:00,0.45
Quebec D5A,Energy,2019-04-13 09:30:00,-0.1
Quebec D5A,10N,2019-04-13 09:30:00,0.45
Quebec D5A,30R,2019-04-13 09:30:00,0.45
Quebec D5A,Energy,2019-04-13 09:35:00,-0.02
Quebec D5A,10N,2019-04-13 09:35:00,0.45
Quebec D5A,30R,2019-04-13 09:35:00,0.45
Quebec D5A,Energy,2019-04-13 09:40:00,-0.1
Quebec D5A,10N,2019-04-13 09:40:00,0.45
Quebec D5A,30R,2019-04-13 09:40:00,0.45
Quebec D5A,Energy,2019-04-13 09:45:00,-0.1
Quebec D5A,10N,2019-04-13 09:45:00,0.45
Quebec D5A,30R,2019-04-13 09:45:00,0.45
Quebec D5A,Energy,2019-04-13 09:50:00,-0.1
Quebec D5A,10N,2019-04-13 09:50:00,0.45
Quebec D5A,30R,2019-04-13 09:50:00,0.45
Quebec D5A,Energy,2019-04-13 09:55:00,-0.1
Quebec D5A,10N,2019-04-13 09:55:00,0.45
Quebec D5A,30R,2019-04-13 09:55:00,0.45
Quebec D5A,Energy,2019-04-13 09:60:00,-0.13
Quebec D5A,10N,2019-04-13 09:60:00,0.45
Quebec D5A,30R,2019-04-13 09:60:00,0.45
Quebec H4Z,Energy,2019-04-13 09:05:00,0
Quebec H4Z,10N,2019-04-13 09:05:00,0.45
Quebec H4Z,30R,2019-04-13 09:05:00,0.45
